CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
476711705,12/10/2009,11:30:00,12/10/2009,14:00:00,102,12/10/2009,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1022754,192813,,,,,40.695828373,-73.86114722,"(40.695828373, -73.86114722)",PATROL BORO QUEENS SOUTH,,65+,WHITE,F
191981570,02/07/2007,22:10:00,02/07/2007,22:12:00,76,02/07/2007,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,983783,185234,,,,,40.675109492,-74.001685029,"(40.675109492, -74.001685029)",PATROL BORO BKLYN SOUTH,,,UNKNOWN,E
875713023,10/10/2008,22:30:00,,,81,10/11/2008,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,OPPOSITE OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,NA,,NA,1003816,191543,,,,,40.692404648,-73.929445622,"(40.692404648, -73.929445622)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
335748629,06/16/2006,11:25:00,06/16/2006,11:30:00,111,06/16/2006,126,MISCELLANEOUS PENAL LAW,117,RECKLESS ENDANGERMENT 1,COMPLETED,FELONY,QUEENS,,HIGHWAY/PARKWAY,N.Y. POLICE DEPT,0,NA,,NA,1053157,212968,,,,,40.750964255,-73.751301157,"(40.750964255, -73.751301157)",PATROL BORO QUEENS NORTH,,25-44,WHITE HISPANIC,F
204963756,02/27/2010,15:35:00,,,81,02/27/2010,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1001180,192508,,,,,40.695058784,-73.938948721,"(40.695058784, -73.938948721)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
769065830,04/19/2006,02:15:00,,,46,04/19/2006,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,,,,,,,,,,PATROL BORO BRONX,,25-44,BLACK,F
990988275,11/25/2015,16:30:00,11/27/2015,09:00:00,75,11/27/2015,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1018552,184657,,,,,40.673459318,-73.876342091,"(40.673459318, -73.876342091)",PATROL BORO BKLYN NORTH,,25-44,BLACK,F
660864124,10/14/2007,18:30:00,10/21/2007,18:00:00,71,10/21/2007,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,999956,181228,,,,,40.664099999,-73.943388978,"(40.664099999, -73.943388978)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,M
257165764,08/02/2006,09:45:00,08/02/2006,09:46:00,14,08/02/2006,360,,661,"LEWDNESS,PUBLIC",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BUS TERMINAL,PORT AUTHORITY,3,NA,,NA,986882,214802,,,,,40.756266207,-73.990501248,"(40.756266207, -73.990501248)",PATROL BORO MAN SOUTH,,25-44,WHITE,M
592173783,09/16/2011,20:36:00,09/16/2011,22:06:00,52,09/16/2011,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,NA,,NA,1009690,257590,,,,,40.873671035,-73.908013649,"(40.873671035, -73.908013649)",PATROL BORO BRONX,,,UNKNOWN,D
